state	county	name	farms	totpop	farm09	farm1019	farm2049	farm5099	farm100	farm500	farm1000	farmsize	farmown	fa09ow	fa1019ow	fa2049ow	fa5099ow	fa100ow	fa500ow	fa1000ow	farmten	fa09te	fa1019te	fa2049te	fa5099te	fa100te	fa500te	fa1000te	farmsc	fa09sc	fa1019sc	fa2049sc	fa5099sc	fa100sc	fa500sc	fa1000sc	farms2	acimp	acunimp	farmval	equipval	livstock	farmout	farmfert	sheep	sheepmer	sheepeng	sheepoth	lambs89	lambscon	lambssla	lambskil	lambsdie	fleeces	fleeclbs	cattle	oxen	cows	otcattle	cattpure	catthalf	cattcom	calves89	calvesol	calvesla	calvedie	milk	butter	cheese	horses	mules	asses	foals89	mulefo89	assfo89	swine	swinecon	swinedie	chickens	turkeys	geese	ducks	eggs	honey	wax	barleyac	barley	buckwhac	buckwhea	cornac	corn	oatsac	oats	ryeac	rye	wheatac	wheat	cottonac	cotton	cottseed	coseedva	flaxac	flaxseed	flaxstrw	flaxfibr	flaxval	hempac	hemp	csugarac	csugar	cmolas	ssugarac	ssugar	smolas	msugar	mmolas	hayac	hay	clovseed	grasseed	riceac	rice	tobacac	tobacco	hopsac	hops	canapeas	cowpeas	beansdry	brcornac	bromcorn	peanutac	peanuts	ipotatac	ipotato	spotatac	spotato	apples	appltree	apricots	apritree	cherries	chertree	peaches	peactree	pears	peartree	plumprun	plumtree	mgardval	horttrac	almondac	bananaac	citronac	cocnutac	figac	guavaac	kakiac	lemonac	limaac	madnutac	oliveac	orangeac	pecanac	pineapac	pomeloac	htreesb	almondtb	bananatb	citrontb	cocnuttb	figtb	guavatb	kakitb	lemontb	limetb	madnuttb	olivetb	orangetb	pecantb	pineaptb	pomelotb	htreesnb	almondtn	citrontn	cocnuttn	figtn	guavatn	kakitn	lemontn	limetn	madnutnb	olivetn	orangetn	pecantn	pomelotn	orangac2	oranges	orangepr	orangval	vinebac	vinenbac	grapeyld	grapeval	grapetab	grapewin	wine	wineval	raisin	raisinpr	vineyval	vineyemp	irrigats	irrac	farmown1	area	farmarea	cerealac	alfalfac	pctownir	irrvalac	farmfams	farmown2	farmfree	farmencu	farmrent	faown80	farent80	valfaenc	valfamtg	intfarm	region1	region2	fips	level
2	30	AROOSTOOK	6180	49589	53	63	555	2165	3312	29	3	117	5939	51	60	533	2077	3188	27	3	151	2	3	16	60	69	1	0	90	0	0	6	28	55	1	0	6180	316253	406763	7518870	417780	1874320	2643230	53594	39006	1146	14124	23736	20903	12318	1874	358	2272	33266	164733	31484	2472	14591	14421	136	2587	28761	8216	4199	1564	529	5067262	1219134	29898	13348	15	0	1549	7	0	8736	6362	531	76601	1924	2477	629	456038	34297	634	1249	32650	18401	388037	55	603	35732	1128909	177	3250	1910	41722	0	0	0	0	24	46	7	1611	127	0	0	0	0	0	0	0	0	45899	1234	105622	102935	854	766	0	0	0	0	0	0	9821	2124	3165	0	0	0	0	16641	2746765	0	0	51005	64989	0	47	0	108	0	0	7	39	34	762	65240																																																																			723016	57524				6225	5746	3666	2080	479	5599	203	2927051	934414	73442	1	1	23003	1
2	50	CUMBERLAND	5342	90949	368	456	1216	1851	1426	22	3	75	4985	340	415	1140	1732	1334	21	3	254	23	33	55	85	57	1	0	103	5	8	21	34	35	0	0	5342	217464	183300	10853750	525790	1365350	2205660	58830	6193	314	2386	3493	4810	3009	156	119	325	5862	31719	24322	2170	15403	6749	563	7443	16316	11661	8380	282	462	5571546	1633747	17979	7791	4	1	382	1	0	8223	4040	397	173088	1108	441	4116	1076971	12916	291	586	12562	39	476	748	25230	4684	125947	46	596	82	1188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	816	106273	98514	0	0	0	0	0	0	0	0	304	51	12257	0	0	0	0	3111	198452	0	0	262611	285139	0	8	41	789	0	157	1723	5491	179	2348	106950																																																																			400764	6185				5360	4910	3920	990	450	5160	255	1819534	661201	39436	1	1	23005	1
2	70	FRANKLIN	2510	17053	58	92	190	520	1591	45	14	151	2396	57	86	185	496	1513	45	14	69	1	4	4	16	44	0	0	45	0	2	1	8	34	0	0	2510	195807	182538	3506150	211056	943700	862600	19243	46883	18635	22279	5969	21271	8951	1611	863	2234	45859	248848	14314	2532	5610	6172	196	6901	7217	4208	4731	306	173	2087425	588631	67701	5684	4	3	671	1	0	3955	2404	99	44647	496	242	353	278181	9627	144	503	10907	211	3955	644	21118	6262	170876	48	98	358	5876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3167	18283	75663	59761	0	39	0	0	0	0	3	1960	661	183	9738	0	0	0	0	1308	102245	0	0	231843	229243	2	48	77	1711	0	0	585	1453	69	1219	9748																																																																			378345	8026				2513	2333	1553	780	180	2415	114	1035831	433084	24799	1	1	23007	1
2	90	HANCOCK	3888	37312	218	354	1042	1266	975	19	14	79	3654	199	321	976	1202	925	18	13	78	3	6	18	27	22	1	1	156	16	27	48	37	28	0	0	3888	119565	187482	4699760	222160	687990	827840	5557	14820	385	2191	12244	10147	6257	895	297	647	12873	60152	10737	1207	6257	3273	64	1168	9505	3989	2735	337	118	2139260	658494	1026	3683	20	4	147	0	0	3259	2352	98	110442	476	209	1461	663281	6636	127	632	14978	23	397	58	1259	2188	61205	2	14	63	871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	283	47231	40923	2	0	0	0	0	0	0	0	1049	227	4514	0	0	0	0	1700	128999	0	0	49525	52248	0	2	14	204	0	0	132	394	22	219	31580																																																																			307047	2966				3887	3712	3300	412	175	3941	137	494930	169556	10938	1	1	23009	1
2	110	KENNEBEC	5232	57012	184	278	912	1946	1896	13	3	89	4919	172	256	856	1823	1799	10	3	166	8	15	36	55	49	3	0	147	4	7	20	68	48	0	0	5232	285498	178944	9974080	523590	1714930	2038370	48495	26955	4917	12460	9578	19075	11411	482	388	2919	26943	141070	24340	2471	14009	7860	1404	11590	11346	10850	8157	227	412	5459022	1555316	94844	10361	18	2	875	1	2	9027	4492	385	131967	1735	313	2427	856975	25451	399	1782	39047	107	1816	1234	42546	9214	269771	7	62	147	2386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	114	1516	5629	128968	123506	6	23	0	0	0	0	0	0	617	124	13335	0	0	0	0	2538	152477	0	0	399839	397132	0	8	492	2166	0	21	2371	4426	121	1087	23276																																																																			464442	12491				5240	4806	3805	1001	434	5213	218	1751412	615986	37091	1	1	23011	1
2	130	KNOX	2102	31473	118	147	516	830	488	2	1	71	1992	108	138	483	795	465	2	1	76	9	7	20	25	15	0	0	34	1	2	13	10	8	0	0	2102	69061	81199	3556230	231940	558510	694090	6918	8037	113	3309	4615	6067	3249	511	97	714	7451	38541	8914	1119	5153	2642	239	2677	5998	3563	2504	161	173	1992692	577258	5997	2900	17	5	117	3	0	3304	1771	147	59664	356	452	1715	431754	4007	78	609	14857	16	276	147	4082	1174	35279	8	50	52	854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	80	35757	33849	0	0	0	0	0	0	0	0	199	40	4919	0	0	0	0	987	70231	0	0	74247	73137	0	2	20	267	0	53	378	1088	77	877	16720																																																																			150260	2006				2102	1965	1715	250	137	2395	62	348926	126386	7413	1	1	23013	1
2	150	LINCOLN	3046	21996	188	228	671	1116	840	3	0	72	2872	178	220	637	1056	778	3	0	96	7	5	17	36	31	0	0	78	3	3	17	24	31	0	0	3046	110876	108946	4153700	229060	622400	712150	8387	8640	464	3056	5120	6683	3849	416	164	470	8517	43660	11153	2458	5150	3545	89	1662	9402	3543	2573	246	85	1814605	587645	327	3222	3	0	198	2	1	3304	2219	106	80834	685	112	847	668228	4994	155	1025	24139	17	145	249	9045	2328	68235	1	13	32	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	66	52203	45368	0	0	0	0	0	0	0	0	321	84	6284	0	0	0	0	1401	81292	0	10	74459	80935	0	1	10	171	0	0	452	1001	19	230	7572																																																																			219822	3652				3049	2886	2635	251	163	3114	99	383425	117851	7033	1	1	23015	1
2	170	OXFORD	4416	30586	134	142	406	1151	2501	61	21	134	4184	126	127	393	1074	2382	61	21	124	7	12	8	36	61	0	0	108	1	3	5	41	58	0	0	4416	254333	336221	6697660	394960	1556240	1561130	31254	23490	1868	12072	9550	15938	9913	614	287	1003	21751	115762	32021	4517	13466	14038	625	8618	22778	9689	6512	576	416	4847067	1032665	186917	8587	17	1	811	1	1	7360	4453	197	85331	1744	269	956	546901	21303	156	325	6693	310	5144	1780	63268	7402	204777	434	1618	268	3983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24031	17644	99377	90301	5	22	0	0	0	0	23	16585	455	319	12544	0	0	0	0	3315	273994	1	40	391264	405433	0	1	117	2292	3	49	1607	4963	182	2486	9317																																																																			590554	10519				4424	4075	3021	1054	349	4420	269	1382253	550942	32401	1	1	23017	1
2	190	PENOBSCOT	6691	72865	201	306	1101	2369	2666	37	11	98	6320	184	292	1038	2226	2538	32	10	247	15	10	43	87	87	4	1	124	2	4	20	56	41	1	0	6691	337505	321376	9446650	617280	2117590	2214830	48295	48420	3733	17904	26783	35884	23640	660	304	2434	47047	240480	31866	1919	17861	12086	342	4466	27058	12245	8128	571	366	6693926	1665257	40226	13946	59	1	1159	0	1	9971	5388	252	133874	2059	514	1955	890625	47822	777	1256	35357	1398	27351	1052	39748	17633	554718	7	101	495	10085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1166	4855	145956	140541	114	47	0	0	0	0	0	0	2036	553	24350	0	0	1	21	4513	413000	0	0	250597	267280	0	26	35	670	0	1	492	1511	225	1014	18363																																																																			658881	21841				6684	6098	4333	1765	586	6912	344	2174374	834953	52233	1	1	23019	1
2	210	PISCATAQUIS	2074	16134	47	45	177	564	1211	22	8	133	1975	42	41	163	537	1164	21	7	63	4	4	12	14	28	0	1	36	1	0	2	13	19	1	0	2074	116977	159299	2834990	208900	747820	693680	14583	20236	2464	6916	10856	13835	8775	734	67	1406	20012	110166	10407	799	5475	4133	41	1077	9289	3355	2127	236	90	1997500	551194	27855	4655	13	2	389	0	1	3393	1942	87	34539	183	256	279	256952	15524	202	230	6334	586	11325	548	22011	5913	197801	7	102	117	1929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	30	645	2455	46320	43838	6	0	0	0	0	0	0	0	505	27	6464	0	0	0	0	1392	116458	0	0	121638	96069	0	1	0	65	0	0	71	123	1	139	10761																																																																			276276	7401				2076	1890	1313	577	186	2027	87	702612	268996	16267	1	1	23021	1
2	230	SAGADAHOC	1221	19452	37	44	182	460	495	3	0	91	1153	35	41	171	431	472	3	0	33	2	2	9	13	7	0	0	35	0	1	2	16	16	0	0	1221	56633	54396	2184620	117200	296380	442870	12263	4114	0	865	3249	3576	2540	179	94	281	4119	20210	5489	763	3163	1563	82	1576	3831	2260	1640	36	61	1117424	376502	675	1698	0	0	90	0	0	1643	929	59	32583	227	194	3697	215711	2345	46	348	7372	5	93	91	2740	1071	29005	2	35	4	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3056	112	28493	23977	0	0	0	0	0	0	0	0	99	20	3104	0	0	0	0	659	41241	0	0	49192	52036	0	0	0	0	0	1	176	291	0	20	9355																																																																			111029	1521				1223	1128	928	200	95	1291	45	315580	122872	7433	1	1	23023	1
2	250	SOMERSET	4347	32627	99	117	370	1118	2586	47	10	134	4096	88	108	350	1036	2460	44	10	94	6	6	9	29	43	1	0	157	5	3	11	53	83	2	0	4347	280082	302257	7255610	402210	1648050	1841000	43585	74484	33686	28424	12374	36045	14798	1981	625	3950	72642	413233	21652	2973	10392	8287	280	11908	9464	7319	6771	329	195	3849854	1051019	131473	9864	16	1	1003	1	0	6750	4391	238	82654	1514	543	951	513027	26883	609	969	24740	930	20730	1252	41920	12613	371442	9	103	169	2986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2167	14562	126393	108076	7	17	0	0	0	0	11	6328	1214	248	18429	0	0	0	0	2368	165012	0	0	290512	261525	0	0	13	134	0	0	299	654	41	453	14053																																																																			582339	15942				4360	4024	2996	1028	336	4360	304	1476105	593437	35233	1	1	23025	1
2	270	WALDO	4116	27759	186	209	668	1393	1644	14	2	92	3889	175	197	625	1312	1566	12	2	130	9	7	26	45	41	2	0	97	2	5	17	36	37	0	0	4116	211168	167637	6094890	388860	1191020	1278300	31520	26006	2739	8128	15139	18989	11081	675	263	2691	25857	131640	15825	1869	8537	5419	249	2881	12695	6123	4464	133	208	2697981	908842	26764	7849	17	0	791	1	2	5962	3663	255	97889	739	520	2984	748461	25175	161	1033	26783	60	904	520	15673	7085	223490	1	8	194	3616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1085	2922	99814	90126	8	338	0	0	0	0	0	0	812	205	11167	0	0	0	0	2339	181381	0	0	205484	201530	0	10	13	775	0	0	260	1350	26	913	10867																																																																			378805	8893				4120	3821	2973	848	299	4059	218	1147600	417826	24523	1	1	23027	1
2	290	WASHINGTON	2467	44482	72	109	478	817	942	39	10	111	2363	68	103	456	781	908	38	9	71	4	4	18	22	21	1	1	33	0	2	4	14	13	0	0	2467	94319	178629	2830410	192880	612580	768680	15766	10178	114	1697	8367	6711	3542	548	167	518	9142	43675	11454	524	6269	4661	200	1276	9978	4250	1530	503	191	2392118	680249	1622	3420	13	2	195	4	0	2616	1529	156	55133	647	452	922	346130	7650	115	340	6944	234	4885	19	402	2774	77875	0	0	57	1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	15	37290	35289	0	0	0	0	0	0	0	0	482	49	2999	0	0	0	0	1863	232382	3	192	28215	33068	0	3	2	34	0	0	52	40	7	100	21521																																																																			272948	3424				2470	2296	1899	397	174	2942	120	357007	116117	7774	1	1	23029	1
2	310	YORK	5519	62829	497	467	1188	1669	1680	16	2	77	5188	456	425	1112	1565	1612	16	2	226	34	28	56	67	41	0	0	105	7	14	20	37	27	0	0	5519	231892	191843	11502490	492067	1362960	1874460	31826	6608	839	1398	4371	4835	2733	174	202	294	5780	28167	27332	4044	14951	8337	385	4086	22861	10295	7232	623	306	5833050	1575071	4861	7024	25	6	420	0	0	7806	4128	214	145978	887	202	2549	959123	6288	94	669	14286	16	236	1901	67790	1924	49691	24	400	130	2154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950	1547	102277	93401	0	2	0	0	1	200	0	0	86	66	11053	0	0	0	0	3835	245424	0	0	299556	251793	1	29	14	273	214	1313	3130	6755	78	825	21344																																																																			423735	4664				5521	5047	4522	525	474	4838	167	1064432	380282	22781	1	1	23031	1
2	0	MAINE	62013	661086	2616	3261	10141	20248	25262	383	102	100	58643	2423	3025	9566	19103	24064	364	98	1976	145	155	359	652	647	14	4	1394	48	81	216	493	551	5	0	62013	3044666	3135259	98567730	5499413	18280140	22049220	456515	370484	72045	139823	158616	229436	129171	11582	4391	22433	352806	1864009	299110	33105	157278	108727	5506	79542	214062	110585	77959	6278	4053	57969791	15593315	696052	109156	248	30	9156	22	9	91297	52452	3435	1411185	15259	7270	26947	9384252	260481	4119	11972	286262	22395	466411	10891	380662	121612	3668909	791	6664	4116	79826	0	0	0	0	24	46	7	1611	127	0	0	0	0	0	3	0	152	84537	71818	1300302	1192228	1002	1254	0	0	1	200	37	24873	18780	4366	149710	0	0	1	21	49617	5251430	4	267	3071471	3003109	3	186	864	10686	217	1607	13141	34331	1291	14394	398752																																																																			6179925	171777				62122	57391	44712	12679	4731	61528	2781	18378172	6741922	422116	1	1	23000	2
3	10	BARNSTABLE	733	29172	88	123	244	142	125	8	3	72	720	84	123	242	140	120	8	3	9	4	0	1	1	3	0	0	4	0	0	1	1	2	0	0	733	15837	36673	1895340	68870	156030	438380	7404	195	24	69	102	153	87	3	10	6	192	1073	2130	48	1422	660	84	505	1541	1045	576	43	55	559827	93247	30	843	2	0	4	0	0	1124	493	54	46051	120	116	2063	294906	292	12	10	104	14	232	445	12358	106	1980	147	1648	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5144	7657	0	0	0	0	0	0	0	0	0	0	681	0	0	0	0	297	21296	0	0	9211	6938	0	0	4	39	8	57	1001	1529	0	26	168663																																																																			52510	724				733	677	612	65	56	929	50	132477	35386	2165	1	1	25001	1
3	30	BERKSHIRE	3423	81108	225	246	475	632	1774	57	14	131	2930	197	225	425	539	1481	51	12	344	26	18	37	76	183	4	0	149	2	3	13	17	110	2	2	3423	254367	194430	12517710	438390	1668280	2287970	27297	14168	2551	9777	1840	8965	5452	414	1055	793	13117	65171	31306	1070	20686	9550	1246	8726	21334	17409	11263	859	850	8827424	1569040	29919	7683	21	5	422	3	0	8574	4621	618	113082	2373	322	2847	636671	18554	346	239	5659	1379	19693	3876	150495	7209	206389	2227	28489	9	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115652	7100	100550	111531	0	0	0	0	46	62565	0	0	27	62	191	0	0	0	0	3487	173467	0	0	175650	168969	0	2	174	1118	88	552	4906	7943	186	1283	21893																																																																			448797	14939				3423	2775	1881	894	648	3205	546	2948285	1167469	66557	1	1	25003	1
